-1.570,0.000,0.000
-1.256,0.000,0.000
-1.256,0.898,0.000
-1.256,1.795,0.000
-1.256,2.693,0.000
-1.256,3.590,0.000
-1.256,4.488,0.000
-1.256,5.386,0.000
-0.942,0.000,0.000
-0.942,0.524,0.000
-0.942,1.047,0.000
-0.942,1.571,0.000
-0.942,2.094,0.000
-0.942,2.618,0.000
-0.942,3.142,0.000
-0.942,3.665,0.000
-0.942,4.189,0.000
-0.942,4.712,0.000
-0.942,5.236,0.000
-0.942,5.760,0.000
-0.628,0.000,0.000
-0.628,0.370,0.000
-0.628,0.739,0.000
-0.628,1.109,0.000
-0.628,1.478,0.000
-0.628,1.848,0.000
-0.628,2.218,0.000
-0.628,2.587,0.000
-0.628,2.957,0.000
-0.628,3.326,0.000
-0.628,3.696,0.000
-0.628,4.066,0.000
-0.628,4.435,0.000
-0.628,4.805,0.000
-0.628,5.174,0.000
-0.628,5.544,0.000
-0.628,5.914,0.000
-0.313,0.000,0.000
-0.313,0.314,0.000
-0.313,0.628,0.000
-0.313,0.942,0.000
-0.313,1.257,0.000
-0.313,1.571,0.000
-0.313,1.885,0.000
-0.313,2.199,0.000
-0.313,2.513,0.000
-0.313,2.827,0.000
-0.313,3.142,0.000
-0.313,3.456,0.000
-0.313,3.770,0.000
-0.313,4.084,0.000
-0.313,4.398,0.000
-0.313,4.712,0.000
-0.313,5.027,0.000
-0.313,5.341,0.000
-0.313,5.655,0.000
-0.313,5.969,0.000
0.001,0.000,0.000
0.001,0.314,0.000
0.001,0.628,0.000
0.001,0.942,0.000
0.001,1.257,0.000
0.001,1.571,0.000
0.001,1.885,0.000
0.001,2.199,0.000
0.001,2.513,0.000
0.001,2.827,0.000
0.001,3.142,0.000
0.001,3.456,0.000
0.001,3.770,0.000
0.001,4.084,0.000
0.001,4.398,0.000
0.001,4.712,0.000
0.001,5.027,0.000
0.001,5.341,0.000
0.001,5.655,0.000
0.001,5.969,0.000
1.572,0.000,0.000
1.886,0.000,0.000
1.886,0.898,0.000
1.886,1.795,0.000
1.886,2.693,0.000
1.886,3.590,0.000
1.886,4.488,0.000
1.886,5.386,0.000
2.200,0.000,0.000
2.200,0.524,0.000
2.200,1.047,0.000
2.200,1.571,0.000
2.200,2.094,0.000
2.200,2.618,0.000
2.200,3.142,0.000
2.200,3.665,0.000
2.200,4.189,0.000
2.200,4.712,0.000
2.200,5.236,0.000
2.200,5.760,0.000
2.514,0.000,0.000
2.514,0.370,0.000
2.514,0.739,0.000
2.514,1.109,0.000
2.514,1.478,0.000
2.514,1.848,0.000
2.514,2.218,0.000
2.514,2.587,0.000
2.514,2.957,0.000
2.514,3.326,0.000
2.514,3.696,0.000
2.514,4.066,0.000
2.514,4.435,0.000
2.514,4.805,0.000
2.514,5.174,0.000
2.514,5.544,0.000
2.514,5.914,0.000
2.828,0.000,0.000
2.828,0.314,0.000
2.828,0.628,0.000
2.828,0.942,0.000
2.828,1.257,0.000
2.828,1.571,0.000
2.828,1.885,0.000
2.828,2.199,0.000
2.828,2.513,0.000
2.828,2.827,0.000
2.828,3.142,0.000
2.828,3.456,0.000
2.828,3.770,0.000
2.828,4.084,0.000
2.828,4.398,0.000
2.828,4.712,0.000
2.828,5.027,0.000
2.828,5.341,0.000
2.828,5.655,0.000
2.828,5.969,0.000
3.142,0.000,0.000
3.142,0.314,0.000
3.142,0.628,0.000
3.142,0.942,0.000
3.142,1.257,0.000
3.142,1.571,0.000
3.142,1.885,0.000
3.142,2.199,0.000
3.142,2.513,0.000
3.142,2.827,0.000
3.142,3.142,0.000
3.142,3.456,0.000
3.142,3.770,0.000
3.142,4.084,0.000
3.142,4.398,0.000
3.142,4.712,0.000
